Parent Sample Name,Summary: Ending O2 ppm,Summary: Laser Power (W),Summary: Measured Pre-Time,Summary: Measured Weld Time,Summary: Robot Travel Speed (mm/s),Summary: Starting O2 ppm,Summary: Total Length,Summary: Wire Feed Speed (mm/s),Summary: Wire Power (kW),Pre-Weld Data: PreTime Recorded (s),Weld Ignition Stage Data: Laser Pre-Time (s),Weld Ignition Stage Data: Wire Power (kW),Weld Fill Stage Data: Fill Time (s),Weld Fill Stage Data: Heat Wirefeed Speed (mm/s),Weld End Stage Data: Heat Wirefeed Speed (mm/s),Post-Weld Data: Laser Off Delay (s),Power / Velocity,Bead width (mm),Fusion zone area (mm^2),Fusion zone width (mm),Fusion zone depth (mm),Fusion zone depth at 50% fusion zone width (mm),Fusion zone depth at 75% fusion zone width (mm),Beta grain length // build (microns),Beta grain length perp. build (microns),Alpha lath thickness (microns),Hardness (HV),"Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth)"
N00014-001-008,42,6000,2.077,19.106,15,41,195.7,40,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.18,6.326,7.403,1.272,0.585,0.4015,145.9584,511.2955,NA,NA,1
N00014-001-010,35,6000,2.079,13.263,15,35,105.9,45,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,9.066,18.159,9.32,2.725,0.8705,0.547,234.4912,338.658,1.382222222,NA,1
N00014-001-011,35,6000,2.077,11.408,15,35,105.9,50,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.447,10.737,7.596,2.209,0.477,0.6465,275.6843529,324.2214,1.275,370,1
N00014-001-012,34,6000,2.081,13.501,15,34,105.9,55,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.34,12.277,7.565,2.491,0.737,0.5295,294.074381,854.164,1.203888889,NA,4
N00014-001-013,33,6000,2.077,13.683,15,33,105.9,70,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.2,12.192,7.417,2.496,0.534,0.391,258.0326923,786.4925,1.338666667,NA,4
N00014-001-014,33,6000,2.073,14.211,15,33,105.9,62.5,0.3,2.07,0.4,0.3,0.25,59.25,59.25,0.25,420,8.5,12.439,7.703,2.516,0.7335,0.5025,174.8103333,559.4173333,1.341777778,NA,3
N00014-001-015,32,6000,2.081,13.436,15,32,105.9,59,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.5,12.154,7.59,2.496,0.657,0.4995,181.5195714,430.0895,1.396777778,NA,3
N00014-001-016,32,6000,2.077,37.582,3.5,32,105.9,70,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.3,55.631,10.445,7,1.015,0.8205,491.7687895,1544.797,1.517444444,NA,3
N00014-001-017,31,6000,2.074,62.531,3.5,31,105.9,85,0.3,2.07,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.67,53.827,10.759,6.56,1.2775,0.9735,602.5484444,1135.1565,1.392333333,NA,4
N00014-001-018,31,6000,2.085,42.961,3.5,31,105.9,80,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.309,58.543,10.529,7.115,1.2005,0.844,584.2248125,1100.196,1.562111111,NA,4
N00014-001-019,31,6000,2.077,46.437,3.5,31,105.9,75,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.23,55.536,10.399,6.958,1.2725,0.923,550.7982353,943.8943333,1.515555556,NA,3
N00014-001-020,37,6000,24.168,57.732,3.5,36,105.9,72,0.3,24.17,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.74,53.54,10.908,6.486,1.175,0.9025,573.8819375,1258.984,1.501333333,NA,3
N00014-001-029,126,6000,1.343,74.908,3,82,113.55,55,0.3,1.34,0.4,0.3,0.25,10,10,0.25,2100,8.44,44.479,8.55,6.474,1.1335,0.856,575.8752,1025.526,1.518444444,349,4
N00014-001-030,75,6000,3.057,63.074,2,79,113.55,55,0.3,3.06,0.4,0.3,0.25,10,10,0.25,3150,10.143,64.915,9.275,7.912,1.276,0.939,650.096,1240.5434,NA,340,4
N00014-001-009,35,6000,2.074,57.251,15,35,192.38,40,0.3,2.07,0.4,0.3,0.25,59.25,59.25,0.25,420,8.99,14.906,8.967,2.391,0.6545,0.4485,147.3874286,426.33,1.115888889,NA,1
N00014-001-021,35,3000,1.332,38.902,3.5,35,110.59,35,0.3,1.33,0.4,0.3,0.25,59.25,59.25,0.25,942.8571429,7.18,26.727,7.134,4.852,1.0615,0.7485,445.8507857,572.4503333,1.03,NA,3
N00014-001-022,33,3000,1.336,39.527,3.5,33,110.59,45,0.3,1.34,0.4,0.3,0.25,59.25,59.25,0.25,942.8571429,6.64,30.663,6.736,5.468,0.9465,0.7225,435.1333333,2372.093,1.447666667,NA,3
N00014-001-023,29,3000,11.076,36.843,3.5,29,110.59,50,0.3,11.08,0.4,0.3,0.25,59.25,59.25,0.25,942.8571429,6.735,33.358,6.593,5.822,0.867,0.65,412.8147692,1630.295333,1.338333333,NA,3
N00014-001-027,29,3000,1.343,12.876,15,29,110.59,30,0.3,1.34,0.4,0.3,0.25,10,10,0.25,220,4.69,5.486,4.711,1.705,0.3545,0.2555,103.8869333,409.0363333,1.084888889,NA,3
N00014-001-028,29,3000,1.343,14.223,15,28,110.59,35,0.3,1.34,0.4,0.3,0.25,10,10,0.25,220,5.029,5.445,4.996,1.67,0.3095,0.2135,147.0784,338.35725,1.258,NA,3
N00014-001-001,79,3000,2.077,62.538,3.5,80,195.7,15,0,2.08,0.4,0.3,0.25,59.25,59.25,0.25,857.1428571,7.163,15.019,7.198,2.865,1.028,0.7425,292.0102222,825.5915,1.214555556,365,2
N00014-001-002,74,6000,2.073,19.521,15,75,195.7,90,0.6,2.07,0.4,0.3,0.25,59.25,59.25,0.25,440,7.407,16.045,7.353,3.088,0.6775,0.5605,205.3455556,857.1715,1.290888889,371,4
N00014-001-003,56,6000,2.077,60.389,3.5,58,195.7,35,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,NA,37.659,11.813,4.247,2.1235,1.914,431.241913,1087.894,1.407333333,NA,3
N00014-001-004,50,6000,4.811,68.275,3.5,52,195.7,45,0.3,4.81,0.4,0.3,0.25,59.25,59.25,0.25,1800,NA,45.069,13.248,4.71,1.9885,1.5345,406.3414348,1166.432333,NA,NA,3
N00014-001-005,65,6000,2.08,60.607,3.5,68,195.7,55,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,11.452,48.42,11.564,5.905,1.6075,1.1405,460.8390625,1296.089333,1.273666667,NA,4
N00014-001-007,49,6000,2.078,19.544,15,50,195.7,30,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,8.772,12.452,8.882,2.104,0.7175,0.48,204.6031579,280.9116,1.243111111,NA,1
N00014-001-075,79,6000,1.345,186.918,6.67,49,103.32,59,0,1.34,0.2,0.1,0.15,10,30,0.1,899.5502249,11.9,37.692,11.925,4.18,1.4455,1.043,376.8,927,NA,358,2
N00014-001-076,58,6000,107.46,19.729,6.58,61,103.32,59.25,0.3,107.46,0.2,0.1,0.15,10,30,0.1,957.4468085,7.81,25.642,7.966,4.531,1.0875,0.7985,337.9444444,1424.4,NA,363,4
N00014-001-077,50,3000,17.007,35.091,3.5,52,103.32,59.25,0.9,17.01,0.2,0.1,0.15,10,30,0.1,1114.285714,6.13,38.461,5.858,7.76,0.808,0.802,514.9090909,1131.272727,NA,358,3
N00014-001-078,48,3000,1.339,33.555,3.5,49,103.32,65,0.9,1.34,0.2,0.1,0.15,10,30,0.1,1114.285714,6.89,43.613,6.742,7.597,1.2775,0.9675,635.5238095,1077.272727,NA,350,3
N00014-001-079,46,3000,11.712,34.212,3.5,48,103.32,70,0.9,11.71,0.2,0.1,0.15,10,30,0.1,1114.285714,6.94,47.582,6.869,8.245,1.435,1.0255,618.6363636,1086.166667,NA,NA,3
N00014-001-080,43,3000,18.051,33.531,3.5,45,103.32,75,0.9,18.05,0.2,0.1,0.15,10,30,0.1,1114.285714,7.64,53.941,6.979,8.816,2.041,1.42,737.2,778.9333333,NA,NA,4
N00014-001-081,42,3000,17.648,34.216,3.5,43,103.32,80,0.9,17.65,0.2,0.1,0.15,10,30,0.1,1114.285714,7.93,54.11,6.98,8.554,1.585,1.1175,449.5428571,728,NA,NA,4
N00014-001-082,41,3000,16.714,34.271,3.5,42,103.32,85,0.9,16.71,0.2,0.1,0.15,10,30,0.1,1114.285714,8.27,52.02,5.996,8.255,1.166,0.835,695.4782609,1170.4,NA,345,4
N00014-001-083,40,3000,7.67,72.252,3.5,41,103.32,90,0.9,7.67,0.2,0.1,0.15,10,30,0.1,1114.285714,7.96,48.675,6.03,7.97,0.786,0.5565,1050,1199.166667,NA,NA,3
N00014-001-084,42,3000,8.975,10.908,15,42,103.32,55,0.9,8.98,0.2,0.1,0.15,10,30,0.1,260,5.59,26.809,5.111,2.722,0.578,0.426,232.6875,2045,NA,NA,3
N00014-001-085,42,3000,8.076,10.876,15,42,103.32,50,0.9,8.08,0.2,0.1,0.15,10,30,0.1,260,4.97,29.347,5.325,2.364,0.5855,0.412,193.55,1114,NA,374,3
N00014-001-086,41,3000,7.699,10.89,15,41,103.32,45,0.9,7.7,0.2,0.1,0.15,10,30,0.1,260,5.08,8.115,5.061,2.306,1.153,0.5765,181.8421053,330.8,NA,NA,3
N00014-001-087,112,6000,10.727,94.183,3.5,74,115.36,90,0.9,10.73,0.2,0.1,0.15,10,30,0.1,1971.428571,10.86,71.785,11.322,8.502,2.2585,1.5605,545.5333333,1057.384615,NA,NA,3
N00014-001-088,56,6000,9.576,37.705,3.5,58,115.36,95,0.9,9.58,0.2,0.1,0.15,10,30,0.1,1971.428571,11.08,76.633,10.014,9.601,2.4195,1.7225,514.3529412,787.1111111,NA,NA,3
N00014-001-089,52,6000,3.743,63.221,3.5,53,115.36,100,0.9,3.74,0.2,0.1,0.15,10,30,0.1,1971.428571,12.04,62.301,10.463,7.359,2.5015,1.837,444.15,505.8333333,NA,350,2
N00014-001-090,48,6000,8.434,36.981,3.5,49,115.36,100,0.9,8.43,0.2,0.1,0.15,10,30,0.1,1971.428571,10.34,82.188,10.477,9.923,2.686,1.8925,502.5555556,626.25,NA,NA,4
N00014-001-091,45,6000,6.565,36.979,3.5,46,115.36,110,0.9,6.57,0.2,0.1,0.15,10,30,0.1,1971.428571,10.61,85.563,10.041,10.14,2.5735,1.767,505,547.75,NA,NA,4
N00014-001-092,43,6000,6.253,37.275,3.5,44,115.36,120,0.9,6.25,0.2,0.1,0.15,10,30,0.1,1971.428571,10.75,89.325,9.928,10.473,2.4055,1.687,685.7931034,658.3076923,NA,NA,4
N00014-001-093,41,6000,6.725,37.356,3.5,43,115.36,130,0.9,6.72,0.2,0.1,0.15,10,30,0.1,1971.428571,11.27,92.056,9.629,10.471,2.1655,1.513,633.5882353,703.68,NA,NA,4
N00014-001-094,50,6000,8.326,11.689,15,48,115.36,50,0.9,8.33,0.2,0.1,0.15,10,30,0.1,460,8.05,11.952,7.736,2.455,0.851,0.552,185.0909091,493,NA,NA,2
N00014-001-095,50,6000,1.333,18.265,15,49,115.36,60,0.9,1.33,0.2,0.1,0.15,10,30,0.1,460,9.95,16.092,8.042,2.815,1.159,0.847,206.2592593,330,NA,379,1
N00014-001-096,47,6000,7.931,13.07,15,48,115.36,70,0.9,7.93,0.2,0.1,0.15,10,30,0.1,460,6.78,14.951,7.428,3.182,0.8,0.539,223.3513514,580.25,NA,NA,3
N00014-001-097,44,6000,5.017,13.187,15,45,115.36,80,0.9,5.02,0.2,0.1,0.15,10,30,0.1,460,6.99,17.018,7.38,3.376,0.9745,0.663,213.6818182,557.5555556,NA,NA,3
N00014-001-098,42,6000,5.558,13.172,15,43,115.36,90,0.9,5.56,0.2,0.1,0.15,10,30,0.1,460,7.08,19.21,7.245,3.912,1.0675,0.7685,232.3333333,524,NA,NA,3
N00014-001-099,41,6000,5.859,13.154,15,41,115.36,100,0.9,5.86,0.2,0.1,0.15,10,30,0.1,460,6.63,18.752,6.977,3.902,0.8265,0.59,245,555.4,NA,NA,4